ID	name	Genotoxic-score	Non-Genotoxic-score	av-rank-in-CV	prop-selected-in-CV	my.train$sd
ACTA2	ACTA2	0.3895	-0.3296	54.5	1	0.198403135816659
AEN	AEN	0.8952	-0.7575	7.8	1	0.216786892449168
ARRDC4	ARRDC4	0.554	-0.4688	34.3	1	0.269665846435097
B3GNT2	B3GNT2	-0.513	0.434	39.9	1	0.243409900619465
BLOC1S2	BLOC1S2	0.9074	-0.7678	7.1	1	0.182310618449964
BRMS1L	BRMS1L	0.509	-0.4307	41.2	1	0.218519520898657
BTG2	BTG2	0.8538	-0.7224	10	1	0.206901972092009
C12orf5	C12orf5	0.6351	-0.5374	23.5	1	0.225288872333476
CBLB	CBLB	-0.617	0.5221	24.7	1	0.182955207795927
CCP110	CCP110	0.6383	-0.5401	22.4	1	0.174623413450014
CDKN1A	CDKN1A	0.7021	-0.5941	17.8	1	0.243437028512662
CEBPD	CEBPD	0.5021	-0.4249	41.5	1	0.327948832759699
CENPE	CENPE	-0.5462	0.4621	34.8	1	0.203300428701452
COIL	COIL	0.4245	-0.3592	51.6	1	0.273188589257812
DAAM1	DAAM1	-0.57	0.4823	31.5	1	0.257656765475727
DCP1B	DCP1B	0.7629	-0.6455	14.6	1	0.161300042711537
DDB2	DDB2	0.8717	-0.7376	9.2	1	0.181249753685671
DUSP14	DUSP14	0.4979	-0.4213	42.3	1	0.181077689919681
E2F7	E2F7	0.9433	-0.7982	5.1	1	0.190295355569821
E2F8	E2F8	0.6696	-0.5666	19.4	1	0.236683427895024
EI24	EI24	0.5449	-0.4611	34.9	1	0.174471691078625
FAM123B	FAM123B	0.6079	-0.5144	25.8	1	0.223917377352746
FBXO22	FBXO22	0.695	-0.5881	17.1	1	0.157521660080519
GADD45A	GADD45A	0.6457	-0.5464	22.6	1	0.242664719074095
GXYLT1	GXYLT1	0.3679	-0.3113	55.3	1	0.157334198173075
HIST1H1E	HIST1H1E	-0.4708	0.3984	45.1	1	0.311311669326637
HIST1H2BB	HIST1H2BB	-0.2762	0.2337	59.8	1	0.326182760822461
HIST1H2BC	HIST1H2BC	-0.3179	0.269	56.9	1	0.328576434293847
HIST1H2BG	HIST1H2BG	-0.3252	0.2752	55.2	1	0.349431334722942
HIST1H2BI	HIST1H2BI	-0.2628	0.2224	61.2	1	0.332690089426555
HIST1H2BM	HIST1H2BM	-0.2752	0.2329	60.1	1	0.355779486151569
HIST1H2BN	HIST1H2BN	-0.218	0.1845	62.8	1	0.218500878616273
HIST1H3D	HIST1H3D	-0.3237	0.2739	56.4	1	0.244396308420959
ID2	ID2	-0.5116	0.4329	40.5	1	0.275496757496225
IKBIP	IKBIP	0.6254	-0.5292	23.5	1	0.197972132091601
ITPKC	ITPKC	0.4598	-0.3891	48.7	1	0.169549781744595
ITPR1	ITPR1	-0.5725	0.4844	30.5	1	0.232773222820799
LCE1E	LCE1E	0.7035	-0.5952	17.9	1	0.312416331659453
LRRFIP2	LRRFIP2	-0.5148	0.4356	39.2	1	0.203927825388277
MDM2	MDM2	0.8071	-0.6829	12.4	1	0.196903887144425
MEX3B	MEX3B	0.4565	-0.3863	47.5	1	0.218491011326762
NLRX1	NLRX1	0.4691	-0.397	47.2	1	0.208257530722097
PCDH8	PCDH8	0.8288	-0.7013	11	1	0.258922159019228
PHLDA3	PHLDA3	1.0259	-0.8681	2.8	1	0.21144246276332
PLK3	PLK3	0.4675	-0.3956	47.5	1	0.256450066091655
PPM1D	PPM1D	1.1313	-0.9572	1.2	1	0.176351709301138
PRKAB1	PRKAB1	1.1057	-0.9356	2	1	0.205533747783195
PRKAB2	PRKAB2	0.4991	-0.4223	42.5	1	0.195274710018793
PTGER4	PTGER4	-0.6048	0.5118	26.9	1	0.25997822836575
RAPGEF2	RAPGEF2	-0.5772	0.4884	29.8	1	0.226287666677369
RBM12B	RBM12B	0.5209	-0.4407	38.7	1	0.182128272126846
RPS27L	RPS27L	0.5567	-0.4711	33.1	1	0.183472922762562
RRM2B	RRM2B	0.6007	-0.5083	28.1	1	0.272242207508141
SEL1L	SEL1L	-0.3013	0.2549	58.6	1	0.242394732258068
SEMG2	SEMG2	0.4144	-0.3507	52.2	1	0.233760214511554
SERTAD1	SERTAD1	0.9273	-0.7847	6.2	1	0.252867208286625
SMAD5	SMAD5	0.5004	-0.4234	42.4	1	0.211049813322021
TM7SF3	TM7SF3	0.607	-0.5136	26.3	1	0.173816425443544
TNFRSF17	TNFRSF17	0.5502	-0.4656	34.3	1	0.357411378984787
TOPORS	TOPORS	0.4821	-0.4079	45.1	1	0.236195723582566
TP53I3	TP53I3	0.7029	-0.5947	16.9	1	0.198207247860516
TRIAP1	TRIAP1	0.912	-0.7717	6.3	1	0.231902284294895
TRIM22	TRIM22	0.8468	-0.7165	10.3	1	0.23424274263747
